chembl_id,name,smiles,mw,hbd,hba,alogp,atc
CHEMBL1118,DESVENLAFAXINE,CN(C)CC(c1ccc(O)cc1)C1(O)CCCCC1,263.38,2,3,2.73,N06AX23
CHEMBL99946,LEVOMILNACIPRAN,CCN(CC)C(=O)[C@@]1(c2ccccc2)C[C@H]1CN,246.35,1,2,1.77,N06AX28
CHEMBL100116,PENTAZOCINE,CC(C)=CCN1CCC2(C)c3cc(O)ccc3CC1C2C,285.43,1,2,3.88,N02AD01
CHEMBL418995,AMINEPTINE,O=C(O)CCCCCCNC1c2ccccc2CCc2ccccc21,337.46,2,2,4.5,N06AA19
CHEMBL1175,DULOXETINE,CNCC[C@H](Oc1cccc2ccccc12)c1cccs1,297.42,1,3,4.63,N06AX21
CHEMBL1177,PEMOLINE,NC1=NC(=O)C(c2ccccc2)O1,176.18,1,3,0.6,N06BA05
CHEMBL117785,TETRABENAZINE,COc1cc2c(cc1OC)C1CC(=O)C(CC(C)C)CN1CC2,317.43,0,4,3.24,N07XX06
CHEMBL1185,ZOLMITRIPTAN,CN(C)CCc1c[nH]c2ccc(C[C@H]3COC(=O)N3)cc12,287.36,2,3,1.92,N02CC03
CHEMBL1194,PRILOCAINE,CCCNC(C)C(=O)Nc1ccccc1C,220.32,2,2,2.32,N01BB04;N01BB54
CHEMBL1201,THIOTHIXENE,CN1CCN(CC/C=C2/c3ccccc3Sc3ccc(S(=O)(=O)N(C)C)cc32)CC1,443.64,0,5,3.47,N05AF04
CHEMBL1218,RAMELTEON,CCC(=O)NCC[C@@H]1CCc2ccc3c(c21)CCO3,259.35,1,2,2.57,N05CH02
CHEMBL135400,ZOPICLONE,CN1CCN(C(=O)OC2c3nccnc3C(=O)N2c2ccc(Cl)cn2)CC1,388.82,0,7,1.57,N05CF01
CHEMBL1256,ISOFLURANE,FC(F)OC(Cl)C(F)(F)F,184.49,0,1,2.35,N01AB06
CHEMBL1257,ENFLURANE,FC(F)OC(F)(F)C(F)Cl,184.49,0,1,2.35,N01AB04
CHEMBL146095,GLAFENINE,O=C(OCC(O)CO)c1ccccc1Nc1ccnc2cc(Cl)ccc12,372.81,3,6,3.14,N02BG03
CHEMBL1278,NARATRIPTAN,CNS(=O)(=O)CCc1ccc2[nH]cc(C3CCN(C)CC3)c2c1,335.47,2,3,2.07,N02CC02
CHEMBL1279,FROVATRIPTAN,CN[C@@H]1CCc2[nH]c3ccc(C(N)=O)cc3c2C1,243.31,3,2,1.34,N02CC07
CHEMBL1286,LEVETIRACETAM,CC[C@@H](C(N)=O)N1CCCC1=O,170.21,1,2,-0.13,N03AX14
CHEMBL1303,ROTIGOTINE,CCCN(CCc1cccs1)[C@H]1CCc2c(O)cccc2C1,315.48,1,3,4.27,N04BC09
CHEMBL1324,TOLCAPONE,Cc1ccc(C(=O)c2cc(O)c(O)c([N+](=O)[O-])c2)cc1,273.24,2,5,2.55,N04BX01
CHEMBL168815,CEVIMELINE,CC1OC2(CS1)CN1CCC2CC1,199.32,0,3,1.56,N07AX03
CHEMBL1341,METHOXYFLURANE,COC(F)(F)C(Cl)Cl,164.97,0,1,2.03,N02BG09
CHEMBL439849,VILAZODONE,N#Cc1ccc2[nH]cc(CCCCN3CCN(c4ccc5oc(C(N)=O)cc5c4)CC3)c2c1,441.54,2,5,4.03,N06AX24
CHEMBL1373,MODAFINIL,NC(=O)C[S+]([O-])C(c1ccccc1)c1ccccc1,273.36,1,2,2.01,N06BA07
CHEMBL197084,TROFINETIDE,C[C@@]1(C(=O)N[C@@H](CCC(=O)O)C(=O)O)CCCN1C(=O)CN,315.33,4,5,-1.24,N07XX24
CHEMBL370805,COCAINE,COC(=O)[C@H]1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1N2C,303.36,0,5,1.87,N01BC01;S02DA02;S01HA01;R02AD03
CHEMBL207538,BREXANOLONE,CC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,318.5,1,2,4.6,N06AX29
CHEMBL220492,TOPIRAMATE,CC1(C)O[C@@H]2[C@@H](CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@@H]23)O1,339.37,1,8,-0.4,N03AX11
CHEMBL396778,SAFINAMIDE,C[C@H](NCc1ccc(OCc2cccc(F)c2)cc1)C(N)=O,302.35,2,3,2.37,N04BD03
CHEMBL243712,AMISULPRIDE,CCN1CCCC1CNC(=O)c1cc(S(=O)(=O)CC)c(N)cc1OC,369.49,2,6,1.29,N05AL05
CHEMBL395091,ESKETAMINE,CN[C@]1(c2ccccc2Cl)CCCCC1=O,237.73,1,2,2.9,N06AX27;N01AX14
