molecule_chembl_id,smiles,pref_name,mw,alogp,hbd,hba,tpsa,cns_mpo
CHEMBL1055,NS(=O)(=O)c1cc(C2(O)NC(=O)c3ccccc32)ccc1Cl,CHLORTHALIDONE,338.77,0.92,3,4,109.49,4.0
CHEMBL316157,O=C(Cc1cccs1)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[n+]3ccccc3)CS[C@H]12,CEPHALORIDINE,415.5,-0.32,1,6,93.42,3.5
CHEMBL1057,O=C1OC2(c3ccc(O)cc3Oc3cc(O)ccc32)c2ccccc21,FLUORESCEIN,332.31,3.67,2,5,75.99,3.0
CHEMBL1059,CC(C)C[C@H](CN)CC(=O)O,PREGABALIN,159.23,1.08,2,2,63.32,4.5
CHEMBL1064,CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,SIMVASTATIN,418.57,4.59,1,5,72.83,3.5
CHEMBL83063,CC(NCCc1ccc(O)cc1)C(O)c1ccc(O)cc1,RITODRINE,287.36,2.35,4,4,72.72,4.0
CHEMBL1065,CC[C@@H](CO)NC(=O)[C@@H]1C=C2c3cccc4c3c(cn4C)C[C@H]2N(C)C1,METHYSERGIDE,353.47,1.94,2,4,57.5,4.5
CHEMBL1068,NC(=O)N1c2ccccc2CC(=O)c2ccccc21,OXCARBAZEPINE,252.27,2.64,1,2,63.4,3.5
CHEMBL315838,COc1ccc(C(=O)Nc2ccccc2CCC2CCCCN2C)cc1,ENCAINIDE,352.48,4.36,1,3,41.57,4.0
CHEMBL86304,O=C(NCCN1CCOCC1)c1ccc(Cl)cc1,MOCLOBEMIDE,268.74,1.4,1,3,41.57,4.5
CHEMBL1071,O=C(O)CCc1nc(-c2ccccc2)c(-c2ccccc2)o1,OXAPROZIN,293.32,4.03,1,3,63.33,4.0
CHEMBL86715,OC(CCN1CCCC1)(c1ccccc1)C1CCCCC1,PROCYCLIDINE,287.45,3.94,1,2,23.47,3.5
CHEMBL1072,CCCCNc1cc(C(=O)O)cc(S(N)(=O)=O)c1Oc1ccccc1,BUMETANIDE,364.42,3.04,3,5,118.72,3.0
CHEMBL1073,Cc1cnc(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCCCC3)cc2)cn1,GLIPIZIDE,445.55,2.08,3,6,130.15,3.0
CHEMBL87493,CCNC(C)Cc1cccc(C(F)(F)F)c1,FENFLURAMINE,231.26,3.25,1,1,12.03,3.5
CHEMBL1075,CCOC(=O)Nc1ccc2c(c1)N(C(=O)CCN1CCOCC1)c1ccccc1S2,MORICIZINE,427.53,4.11,1,6,71.11,3.5
