"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"Lamp5","Pvalb","BMP6","ACVR1_ACVR2B",0.00218641205639203,0,"BMP6_ACVR1_ACVR2B","BMP6 - (ACVR1+ACVR2B)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Sncg","Pvalb","BMP6","ACVR1_ACVR2B",0.00042141115932665,0,"BMP6_ACVR1_ACVR2B","BMP6 - (ACVR1+ACVR2B)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Sst Chodl","Pvalb","BMP6","ACVR1_ACVR2B",0.000653852192864983,0,"BMP6_ACVR1_ACVR2B","BMP6 - (ACVR1+ACVR2B)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Vascular","Pvalb","BMP6","ACVR1_ACVR2B",0.00137918733980162,0,"BMP6_ACVR1_ACVR2B","BMP6 - (ACVR1+ACVR2B)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Lamp5","Sncg","BMP6","ACVR1_ACVR2B",0.00202480826363075,0,"BMP6_ACVR1_ACVR2B","BMP6 - (ACVR1+ACVR2B)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Sncg","Sncg","BMP6","ACVR1_ACVR2B",0.000390188061307506,0,"BMP6_ACVR1_ACVR2B","BMP6 - (ACVR1+ACVR2B)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Sst Chodl","Sncg","BMP6","ACVR1_ACVR2B",0.000605425337614176,0,"BMP6_ACVR1_ACVR2B","BMP6 - (ACVR1+ACVR2B)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Vascular","Sncg","BMP6","ACVR1_ACVR2B",0.00127714400386249,0,"BMP6_ACVR1_ACVR2B","BMP6 - (ACVR1+ACVR2B)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Lamp5","Sst Chodl","BMP6","ACVR1_ACVR2B",0.00236992993330003,0,"BMP6_ACVR1_ACVR2B","BMP6 - (ACVR1+ACVR2B)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Sncg","Sst Chodl","BMP6","ACVR1_ACVR2B",0.000456866416466692,0,"BMP6_ACVR1_ACVR2B","BMP6 - (ACVR1+ACVR2B)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Sst Chodl","Sst Chodl","BMP6","ACVR1_ACVR2B",0.000708843533569659,0,"BMP6_ACVR1_ACVR2B","BMP6 - (ACVR1+ACVR2B)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Vascular","Sst Chodl","BMP6","ACVR1_ACVR2B",0.00149506562087286,0,"BMP6_ACVR1_ACVR2B","BMP6 - (ACVR1+ACVR2B)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Lamp5","Vip","BMP6","ACVR1_ACVR2B",0.00190916995736247,0,"BMP6_ACVR1_ACVR2B","BMP6 - (ACVR1+ACVR2B)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Sncg","Vip","BMP6","ACVR1_ACVR2B",0.000367857311304009,0,"BMP6_ACVR1_ACVR2B","BMP6 - (ACVR1+ACVR2B)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Sst Chodl","Vip","BMP6","ACVR1_ACVR2B",0.000570787702260774,0,"BMP6_ACVR1_ACVR2B","BMP6 - (ACVR1+ACVR2B)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Vascular","Vip","BMP6","ACVR1_ACVR2B",0.00120414093818129,0,"BMP6_ACVR1_ACVR2B","BMP6 - (ACVR1+ACVR2B)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Lamp5","Astrocyte","BMP6","ACVR1_BMPR2",0.00928447116394477,0,"BMP6_ACVR1_BMPR2","BMP6 - (ACVR1+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
