names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,group,contrast
SPNS2,25.396927,2.6190147,2.726971901830709e-142,2.71222550486157e-140,0.23875188726723703,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
LINC01909,25.341698,3.0877473,1.1094459475777082e-141,1.100456128110886e-139,0.2222110384163731,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
SYK,25.274254,0.71228117,6.131238574487967e-141,6.048772589348627e-139,0.8239892635463848,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
TBC1D22A,25.18634,0.55159366,5.654093811562727e-140,5.563050741855038e-138,0.8945143432310015,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
ITPR2,24.996616,0.48480266,6.65390543614198e-138,6.408936654427174e-136,0.9344405301123972,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
COTL1,24.918901,1.258865,4.642737086102368e-137,4.460074018069102e-135,0.4323100150981379,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
SYT6,24.90945,3.1378932,5.877526128570309e-137,5.631500885649264e-135,0.21499748364368396,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
PTAFR,24.865412,1.3898507,1.7617878144652015e-136,1.679249890553147e-134,0.3809092434155343,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
CACNB4,24.863644,1.2472892,1.8410796001500227e-136,1.7502689466257396e-134,0.4506290890790136,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
DPYSL2,24.848377,0.9615141,2.692506597985298e-136,2.553068238156992e-134,0.6136554269417883,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
TBC1D16,24.83621,1.0150847,3.644374043677322e-136,3.4467114824969937e-134,0.5993289716490522,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
TMEM51,24.829136,1.1871054,4.345490341989813e-136,4.0992085568858024e-134,0.4792484482469384,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
MAML2,24.82054,0.6062213,5.381266588020559e-136,5.063232349309525e-134,0.9582284851534978,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
SKI,24.81305,0.9477594,6.4823928066245606e-136,6.083642541417066e-134,0.5992954202315047,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
TRERF1,24.809935,1.5741212,7.004006345185201e-136,6.556358983123364e-134,0.34531118939775207,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
GCNT2,24.725391,1.2167825,5.704530879254379e-135,5.312761697495917e-133,0.4614997483643684,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
MAP3K2,24.605274,0.81397283,1.109204224542006e-133,1.0252016116783323e-131,0.7110887434994129,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
PTPRJ,24.553425,0.66419023,3.975653123743432e-133,3.6561025121139036e-131,0.8776044287871163,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
MLXIPL,24.49792,1.7278954,1.554511423141339e-132,1.4259817693833622e-130,0.30226472068444893,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
ZNF710,24.487494,0.791334,2.007609082582817e-132,1.837012500790342e-130,0.7451434323100151,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
DTNB,24.369705,0.87548846,3.5844145761687993e-131,3.2473553936226295e-129,0.725247441704412,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
LPAR5,24.366665,1.5238842,3.860437013601966e-131,3.4887865465393965e-129,0.33752726052675724,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
RAD51B,24.357954,0.9021189,4.774768175836903e-131,4.3044652710297165e-129,0.8098641167589331,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
NAP1L1,24.323545,1.010694,1.1048290336559182e-130,9.911237122754966e-129,0.5436336185203825,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
S100Z,24.257675,1.826318,5.487355048076048e-130,4.898602002795889e-128,0.29444724039590675,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
AP1B1,24.212502,0.8589043,1.6429828606197748e-129,1.46313420149743e-127,0.6360677738634457,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
CEBPA,24.177153,2.359219,3.869937946720494e-129,3.4213429658917104e-127,0.23982553262875356,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
RGS1,24.142914,1.375167,8.862491033151218e-129,7.816289983237778e-127,0.4151316893138735,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
MARCKS,24.134718,1.1735772,1.0804952352339846e-128,9.506539929038238e-127,0.4486160040261701,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
SETBP1,24.112911,1.2874745,1.830176298113539e-128,1.6025426480204222e-126,0.418688139573897,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
RIN3,24.077639,0.6388366,4.2876786081661796e-128,3.745425411395951e-126,0.8353296426774032,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
TREM2,24.043573,2.0415816,9.74564302040417e-128,8.492863814043167e-126,0.2611642341888945,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
PGM5,24.03792,1.3038968,1.116669514573166e-127,9.708128480497019e-126,0.39939607448414693,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
DLEU7,23.944487,1.4103729,1.0546733882073166e-126,9.147417223169667e-125,0.3738298943130347,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
FCGR3A,23.83514,1.4206805,1.444088860099753e-125,1.2495294649766208e-123,0.3545713806408321,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
CTTNBP2,23.77345,0.8982704,6.287311007477446e-125,5.4146322396395765e-123,0.6653581613823184,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
SDCCAG8,23.704817,0.58964986,3.216053044626259e-124,2.761640155790369e-122,0.8760946149974836,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
CAPG,23.693771,2.3113728,4.180236293228701e-124,3.5664528803837683e-122,0.23650394229156183,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
TRAF3IP3,23.634398,1.951399,1.7080057998189772e-123,1.450457547080612e-121,0.26099647710115753,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
TMIGD3,23.554148,1.3319813,1.1383287766625595e-122,9.644437859867209e-121,0.37185036067773863,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
CELF2,23.516253,0.4297129,2.7816365846767737e-122,2.3458682174137002e-120,0.9816809260191243,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
