names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,group,contrast
MEF2C-AS1,31.814014,1.2182274,4.143035328605166e-222,2.950179689927581e-220,0.6371488445854101,Micro-PVM_2,DAM_vs_Homeostatic
SLC39A10,31.51428,1.2558676,5.536577769806972e-218,3.934840445683592e-216,0.528580935659266,Micro-PVM_2,DAM_vs_Homeostatic
LIMS1,31.472422,1.0480107,2.0717920969403185e-217,1.4667246139286768e-215,0.725093452650657,Micro-PVM_2,DAM_vs_Homeostatic
LPAR5,31.378729,1.7426723,3.947653117401028e-216,2.7839701685933535e-214,0.365583937471681,Micro-PVM_2,DAM_vs_Homeostatic
AIDA,31.280493,1.3773538,8.596693933865045e-215,6.050915282180663e-213,0.47447751472587224,Micro-PVM_2,DAM_vs_Homeostatic
RPS6KA2,31.158524,1.0368624,3.888183908033195e-213,2.7158667789679954e-211,0.7581771069324875,Micro-PVM_2,DAM_vs_Homeostatic
MCF2L2,31.102884,1.6677086,2.2015935838864907e-212,1.534867176453894e-210,0.3862709560489352,Micro-PVM_2,DAM_vs_Homeostatic
SALL1,31.054995,4.239448,9.768208599647006e-212,6.784178424206453e-210,0.22385449705482555,Micro-PVM_2,DAM_vs_Homeostatic
AZIN1-AS1,30.9964,1.7318451,6.027433419776228e-211,4.17822141282632e-209,0.3686707068418668,Micro-PVM_2,DAM_vs_Homeostatic
MIR99AHG,30.968475,1.0658612,1.4331069245084645e-210,9.91552864724656e-209,0.7951121431807884,Micro-PVM_2,DAM_vs_Homeostatic
AIG1,30.910742,1.2472485,8.567516309439832e-210,5.905455074233659e-208,0.5486661758042591,Micro-PVM_2,DAM_vs_Homeostatic
MED12L,30.879236,1.6443356,2.269987495391773e-209,1.56172579546681e-207,0.3824054145899411,Micro-PVM_2,DAM_vs_Homeostatic
AP003086.1,30.864698,1.2641747,3.5575014378988945e-209,2.4429288954697458e-207,0.5544644879927504,Micro-PVM_2,DAM_vs_Homeostatic
HPS3,30.82361,1.2896603,1.2650634393502435e-208,8.622455669210105e-207,0.5009840847304032,Micro-PVM_2,DAM_vs_Homeostatic
YWHAH,30.821808,1.4923725,1.337356630848536e-208,9.081371065990217e-207,0.41501472587222477,Micro-PVM_2,DAM_vs_Homeostatic
XYLT1,30.733736,1.7939328,2.017056638864408e-207,1.3671535192421517e-205,0.35557317625736296,Micro-PVM_2,DAM_vs_Homeostatic
PLD1,30.682573,1.359456,9.722417187751655e-207,6.565501687987054e-205,0.49163881966470324,Micro-PVM_2,DAM_vs_Homeostatic
PLCG2,30.598211,0.79116833,1.2928788430769966e-205,8.714670080195423e-204,0.9051951178069778,Micro-PVM_2,DAM_vs_Homeostatic
SESN3,30.577509,1.3907275,2.4370603302420283e-205,1.6396846534409647e-203,0.45953217036701405,Micro-PVM_2,DAM_vs_Homeostatic
AC024145.1,30.520103,2.3375936,1.4102179366163678e-204,9.470713155613886e-203,0.28731734254644314,Micro-PVM_2,DAM_vs_Homeostatic
CTTNBP2NL,30.519024,1.0634938,1.457502817556433e-204,9.77034077387967e-203,0.6307275147258722,Micro-PVM_2,DAM_vs_Homeostatic
RCSD1,30.51736,1.0328068,1.5334670951784392e-204,1.026077315367935e-202,0.7456742750339828,Micro-PVM_2,DAM_vs_Homeostatic
PTGS1,30.357979,2.4106498,1.971501570786956e-202,1.3119805271340613e-200,0.27495610557317623,Micro-PVM_2,DAM_vs_Homeostatic
ST5,30.32225,2.0505922,5.835735148291507e-202,3.8764744494122944e-200,0.3114805165382873,Micro-PVM_2,DAM_vs_Homeostatic
MIR646HG,30.312044,1.2264824,7.9544773394449e-202,5.274308425743166e-200,0.634947043497961,Micro-PVM_2,DAM_vs_Homeostatic
PTPRJ,30.278534,0.82091534,2.197822176565492e-201,1.4546562293756524e-199,0.9045296216583598,Micro-PVM_2,DAM_vs_Homeostatic
LINC01091,30.218966,2.1274805,1.3346895277379582e-200,8.817864874501267e-199,0.3128044290892614,Micro-PVM_2,DAM_vs_Homeostatic
CAMK2D,30.160202,0.95890427,7.883028379256383e-200,5.198679670435367e-198,0.7438618599909379,Micro-PVM_2,DAM_vs_Homeostatic
NXN,30.115685,2.2945912,3.0200021278844997e-199,1.980915732664885e-197,0.2854836882646126,Micro-PVM_2,DAM_vs_Homeostatic
TLR1,30.115093,1.0181285,3.0743244987494736e-199,2.0129400890649282e-197,0.619187528318985,Micro-PVM_2,DAM_vs_Homeostatic
LILRB4,30.113094,2.17493,3.2652272678648983e-199,2.1341175576986275e-197,0.29196165609424557,Micro-PVM_2,DAM_vs_Homeostatic
MTUS1,30.081406,1.1627302,8.48353450580529e-199,5.525015061334153e-197,0.5830312641594925,Micro-PVM_2,DAM_vs_Homeostatic
AZIN2,30.05448,3.0096056,1.9080504948201224e-198,1.2382368113636756e-196,0.24468311055731762,Micro-PVM_2,DAM_vs_Homeostatic
PTAFR,29.909382,1.5032693,1.485883632818994e-196,9.591680219542857e-195,0.39729412097870415,Micro-PVM_2,DAM_vs_Homeostatic
AC023051.1,29.81189,2.2687721,2.7397605109912832e-195,1.753111441657202e-193,0.28532793384685096,Micro-PVM_2,DAM_vs_Homeostatic
NOL4L,29.809624,1.4233811,2.9315466341504737e-195,1.8725573884213173e-193,0.42355289986406885,Micro-PVM_2,DAM_vs_Homeostatic
CTNND1,29.66286,0.7969723,2.3151174190625485e-193,1.4736628287844928e-191,0.7930306977797916,Micro-PVM_2,DAM_vs_Homeostatic
SLC15A2,29.5803,1.2098382,2.678424366053297e-192,1.69901230887204e-190,0.5021026846397825,Micro-PVM_2,DAM_vs_Homeostatic
LIPC,29.517101,3.9205935,1.7371000114534996e-191,1.0980932214025827e-189,0.2176951178069778,Micro-PVM_2,DAM_vs_Homeostatic
RUNX1,29.514988,0.7244388,1.8490525569506102e-191,1.1668478040853325e-189,0.9297901563207974,Micro-PVM_2,DAM_vs_Homeostatic
SAMD12,29.411858,1.2448806,3.8734621208848687e-190,2.4401477983908273e-188,0.5163258948799275,Micro-PVM_2,DAM_vs_Homeostatic
HPGDS,29.236832,1.7675828,6.60267727696691e-188,4.116943628863132e-186,0.33444013366560943,Micro-PVM_2,DAM_vs_Homeostatic
HAVCR2,29.167788,1.0638537,4.97018236171041e-187,3.0937694663429026e-185,0.5901393294064341,Micro-PVM_2,DAM_vs_Homeostatic
PLCL2,29.16569,0.9416675,5.284177529592168e-187,3.278070877298355e-185,0.7585240144993204,Micro-PVM_2,DAM_vs_Homeostatic
RAP1GAP2,29.092775,1.203042,4.430799774573663e-186,2.74402203974908e-184,0.49981592659719076,Micro-PVM_2,DAM_vs_Homeostatic
CD226,29.076256,2.6231077,7.167752940401521e-186,4.431535901547907e-184,0.25185489352061624,Micro-PVM_2,DAM_vs_Homeostatic
DEPTOR,29.063066,1.2886989,1.0521838027875238e-185,6.494262962196655e-184,0.4762474512913457,Micro-PVM_2,DAM_vs_Homeostatic
ATF7IP2,28.950804,1.3138142,2.741628714020648e-184,1.6836636335884186e-182,0.46916062528318986,Micro-PVM_2,DAM_vs_Homeostatic
PSMA1,28.948774,1.0772992,2.907803295282826e-184,1.782722083930431e-182,0.6138210806524694,Micro-PVM_2,DAM_vs_Homeostatic
GARNL3,28.929853,1.2355859,5.030846236703962e-184,3.079163931598691e-182,0.4860387403715451,Micro-PVM_2,DAM_vs_Homeostatic
NRIP1,28.87439,0.8421188,2.50415369003317e-183,1.5301256963089158e-181,0.805087505663797,Micro-PVM_2,DAM_vs_Homeostatic
FAM168A,28.865133,0.90621173,3.2722701612333033e-183,1.9928179729001688e-181,0.7321519596737653,Micro-PVM_2,DAM_vs_Homeostatic
AL163541.1,28.8018,1.4673882,2.0364740729486e-182,1.236102612669846e-180,0.5691620412324422,Micro-PVM_2,DAM_vs_Homeostatic
AC131944.1,28.731144,2.654104,1.558344300864639e-181,9.42759665387548e-180,0.2508991277752605,Micro-PVM_2,DAM_vs_Homeostatic
ARHGAP17,28.606936,1.1700406,5.508331963300496e-180,3.321424352368393e-178,0.4982300634345265,Micro-PVM_2,DAM_vs_Homeostatic
ENO4,28.590416,2.3969345,8.840050150330713e-180,5.32162295316208e-178,0.26168158133212505,Micro-PVM_2,DAM_vs_Homeostatic
KCTD12,28.58531,1.0382415,1.0231004870225716e-179,6.148850726685245e-178,0.592079179882193,Micro-PVM_2,DAM_vs_Homeostatic
ARHGAP20,28.45828,2.3691754,3.8489849282410194e-178,2.301906819584143e-176,0.2643506456728591,Micro-PVM_2,DAM_vs_Homeostatic
BCL2,28.324978,1.1242554,1.702338571489517e-176,1.0131267326030538e-174,0.638890462165836,Micro-PVM_2,DAM_vs_Homeostatic
ACTB,28.28931,0.9781466,4.6782177834768025e-176,2.77516124948192e-174,0.672611293611237,Micro-PVM_2,DAM_vs_Homeostatic
C4orf19,28.276386,3.150019,6.745798901406469e-176,3.99519394159188e-174,0.22550407793384686,Micro-PVM_2,DAM_vs_Homeostatic
OGFRL1,28.250898,0.9450581,1.3876281763307974e-175,8.191706271271535e-174,0.6876274354327141,Micro-PVM_2,DAM_vs_Homeostatic
HLA-DPA1,28.186893,1.3084086,8.465739757510342e-175,4.981584258273891e-173,0.44088411871318534,Micro-PVM_2,DAM_vs_Homeostatic
SP140,28.179564,1.9627005,1.041093798034173e-174,6.106582388116789e-173,0.29443248753964657,Micro-PVM_2,DAM_vs_Homeostatic
GCNT2,28.178703,1.2573372,1.066646880518397e-174,6.246454795816615e-173,0.47021550747621205,Micro-PVM_2,DAM_vs_Homeostatic
FEZ2,28.162937,1.0006901,1.6640010392601389e-174,9.713572892816642e-173,0.6000580539193475,Micro-PVM_2,DAM_vs_Homeostatic
HLA-DRB1,28.149036,1.1137806,2.4623515531053815e-174,1.4351039680765934e-172,0.5934030924331672,Micro-PVM_2,DAM_vs_Homeostatic
UBL3,28.117435,1.047254,5.996955282350646e-174,3.489579654838092e-172,0.590082691436339,Micro-PVM_2,DAM_vs_Homeostatic
CHSY3,28.099384,1.1519579,9.967091147013534e-174,5.790563540822894e-172,0.6566606252831898,Micro-PVM_2,DAM_vs_Homeostatic
BROX,28.075161,1.3527946,1.96982367634482e-173,1.1425913847527218e-171,0.4103491730856366,Micro-PVM_2,DAM_vs_Homeostatic
SUSD3,28.020931,2.2963169,9.033378341376733e-173,5.231498111910281e-171,0.26100192569098324,Micro-PVM_2,DAM_vs_Homeostatic
CDH23,28.02008,1.8634387,9.251469078970131e-173,5.349336805045588e-171,0.3036998753964658,Micro-PVM_2,DAM_vs_Homeostatic
LYST,27.904737,0.8146553,2.337316680001092e-171,1.3472146110979522e-169,0.773575555052107,Micro-PVM_2,DAM_vs_Homeostatic
ALCAM,27.846169,1.1947509,1.1986096600590991e-170,6.887019178622149e-169,0.5392076347983689,Micro-PVM_2,DAM_vs_Homeostatic
PTPRE,27.837399,0.78707254,1.5305184682762053e-170,8.766589429949514e-169,0.8699167421839601,Micro-PVM_2,DAM_vs_Homeostatic
SSPN,27.755224,2.2482164,1.5069833504904317e-169,8.618296501765671e-168,0.26411701404621657,Micro-PVM_2,DAM_vs_Homeostatic
SDCCAG8,27.687086,0.67043144,9.988702541614321e-169,5.703533568262493e-167,0.8904692455822383,Micro-PVM_2,DAM_vs_Homeostatic
RPS6KA1,27.653688,1.2148398,2.5198667478469056e-168,1.4343645853490605e-166,0.4494930901676484,Micro-PVM_2,DAM_vs_Homeostatic
PRDM11,27.64524,2.1937978,3.1837680233481096e-168,1.8094579724000647e-166,0.273037494336203,Micro-PVM_2,DAM_vs_Homeostatic
AL034397.3,27.56562,1.182678,2.8758189143441016e-167,1.6268600940325885e-165,0.49813094698686,Micro-PVM_2,DAM_vs_Homeostatic
MIR31HG,27.5325,3.5202894,7.170639450827475e-167,4.0501940515391424e-165,0.2106366107838695,Micro-PVM_2,DAM_vs_Homeostatic
AMPD3,27.492216,1.2794981,2.175210305798555e-166,1.2267314699928031e-164,0.4237582125056638,Micro-PVM_2,DAM_vs_Homeostatic
